City,Lon,Lat,Disease
San Francisco,-122.3,37.8,Blue
Chicago,-87.8,41.9,Blue
Atlanta,-84.5,33.8,Blue
Montreal,-73.7,45.5,Blue
Washington,-77.2,38.9,Blue
New York,-74.1,40.7,Blue
Madrid,-3.8,40.4,Blue
London,-0.3,51.5,Blue
Paris,2.2,48.9,Blue
Essen,7.1,51.5,Blue
Milan,9.2,45.5,Blue
St. Petersburg,30.3,59.9,Blue
Beijing,116.2,39.9,Red
Seoul,126.8,37.6,Red
Shanghai,121.2,31.3,Red
Tokyo,139.0,36.0,Red
Bangkok,100.2,13.7,Red
Hong Kong,114.0,22.3,Red
Taipei,121.4,25.0,Red
Osaka,136.0,34.0,Red
Jakarta,106.6,-6.2,Red
Ho Chi Minh City,106.5,10.8,Red
Manila,121.2,14.5,Red
Sidney,151.0,-33.9,Red
Los Angeles,-118.0,34.0,Yellow
Mexico City,-99.0,19.4,Yellow
Miami,-80.4,25.8,Yellow
Bogota,-73.9,4.7,Yellow
Lima,-76.8,-12.1,Yellow
Sao Paulo,-46.4,-23.5,Yellow
Santiago,-70.5,-33.5,Yellow
Buenos Aires,-58.5,-34.6,Yellow
Lagos,3.3,6.5,Yellow
Khartoum,32.8,15.5,Yellow
Kinshasa,15.1,-4.4,Yellow
Johannesburg,28.0,-26.2,Yellow
Moscow,37.4,55.8,Black
Istanbul,28.9,41.0,Black
Tehran,51.2,35.7,Black
Algiers,2.9,36.7,Black
Cairo,31.1,30.1,Black
Baghdad,44.3,33.3,Black
Karachi,66.9,24.9,Black
Delhi,77.2,28.6,Black
Kolkata,88.3,22.6,Black
Riyadh,46.6,24.7,Black
Mumbai,72.8,19.1,Black
Chennai,80.2,13.1,Black
